,Unnamed: 0,ev_city,ev_country,ev_state,latitude,longitude
1049,18306,GRAND CANYON   ,USA,AZ,36.0544445,-112.1401108
1050,18313,MEMPHIS        ,USA,TN,35.1495343,-90.0489801
1051,18323,KIANA          ,USA,AK,66.97058609999999,-160.4397436
1052,18343,RAVENSDALE     ,USA,WA,47.3523235,-121.9837251
1053,18373,Los Menucos,AR,,-40.8427882,-68.08587
1054,18390,PUNTARENAS     ,CS,,,
1055,18405,PAXSON         ,USA,AK,63.03224760000001,-145.4972418
1056,18413,OLD MONROE     ,USA,MO,38.9317176,-90.74679239999999
1057,18415,NOSARA         ,CS,,9.9797332,-85.64862509999999
1058,18468,Nassau,BF,,30.6794477,-81.9651863
1059,18491,WESTON         ,USA,FL,26.1003654,-80.3997748
1060,18493,Tampico,MX,,22.2331041,-97.861099
1061,18499,YUMA           ,USA,AZ,32.6926512,-114.6276916
1062,18503,BOISE          ,USA,ID,43.6187102,-116.2146068
1063,18508,WINDSOR LOCKS  ,USA,CT,41.9242917,-72.6454469
1064,18520,IKARIA ISLAND,GR,,37.5967227,26.1123078
1065,18554,Tuxtla Gutierrez,MX,,16.7516009,-93.1029939
1066,18560,Hamburg Harbour,GE,,53.5510846,9.9936818
1067,18567,AMSTERDAM      ,NL,,52.3702157,4.895167900000001
1068,18582,BECKLEY        ,USA,WV,37.7781702,-81.1881557
1069,18618,ANCHORAGE      ,USA,AK,61.2180556,-149.9002778
1070,18662,ATLANTA        ,USA,GA,33.7489954,-84.3879824
1071,18676,NEVAJ          ,GT,,15.406794,-91.1472974
1072,18734,SANFORD        ,USA,ME,43.4391627,-70.7742804
1073,18771,Boca Chica,DR,,18.4529352,-69.6065612
1074,18805,FAIRBANKS      ,USA,AK,64.8377778,-147.7163889
1075,18829,PHILADELPHIA   ,USA,PA,39.9525839,-75.1652215
1076,18844,FRANKFORT      ,GE,,38.1305349,-84.848732
1077,18865,HARRISON       ,USA,AR,36.2297936,-93.1076765
1078,18880,BARTLETT       ,USA,TX,30.7949121,-97.42555829999999
1079,18881,LANDER         ,USA,WY,42.833014,-108.7306725
1080,18884,HOLY CROSS     ,USA,AK,62.19944439999999,-159.7713889
1081,18898,SANTO DOMINGO  ,DR,,18.4860575,-69.93121169999999
1082,18900,KERSHAW        ,USA,SC,34.5518201,-80.5836836
1083,18928,NEW YORK       ,USA,NY,40.7127837,-74.0059413
1084,18932,GUSTAVUS       ,USA,AK,58.4133333,-135.7369444
1085,18950,Ivashka Township,RS,,,
1086,18958,BETHEL         ,USA,AK,60.7922222,-161.7558333
1087,18977,Jamaica,USA,NY,40.702677,-73.7889689
1088,19004,COLDFOOT       ,USA,AK,67.25243979999999,-150.1771514
1089,19007,CHULUM JUAREZ  ,MX,,25.8740978,-97.4996044
1090,19015,ATLANTA        ,USA,GA,33.7489954,-84.3879824
1091,19027,WEST MIFFLIN   ,USA,PA,40.3634026,-79.86643749999999
1092,19074,LONDON,UK,,51.5073509,-0.1277583
1093,19078,Christchurch,NZ,,-43.5320544,172.6362254
1094,19092,SUBIC BAY      ,RP,,,
1095,19142,WENATCHEE      ,USA,WA,47.4234599,-120.3103494
1096,19152,LA PUNTILLA    ,CI,,,
1097,19165,DFW AIRPORT    ,USA,TX,32.8998091,-97.0403352
1098,19195,FINGER LAKE    ,USA,AK,61.60654999999999,-149.277919
1099,19197,Kota Bahru,MY,,6.124785,102.2543825
1100,19213,VAN NUYS       ,USA,CA,34.1898566,-118.451357
1101,19218,GREER          ,USA,SC,34.9387279,-82.2270568
1102,19220,ILIAMNA        ,USA,AK,59.7547222,-154.9061111
1103,19234,HOMER          ,USA,AK,59.64250000000001,-151.5483333
1104,19282,NONDALTON      ,USA,AK,59.9736111,-154.8458333
1105,19302,SAVOONGA       ,USA,AK,63.6941667,-170.4788888
1106,19312,Guadalajara,MX,,20.6596988,-103.3496092
1107,19314,APODACA        ,MX,,25.7815621,-100.1875974
1108,19342,SAN PEDRO      ,USA,CA,33.7360619,-118.2922461
